trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004011,18.42.00,19,18.42.00,0,10
1004011,18.45.00,20,18.45.00,0,9
1004011,18.49.00,21,18.49.00,0,8
1004011,18.53.00,22,18.53.00,0,7
1004011,18.55.00,23,18.55.00,0,6
1004011,18.59.00,24,18.59.00,0,5
1004011,19.03.00,25,19.03.00,0,4
1004011,19.05.00,26,19.05.00,0,3
1004011,19.07.00,27,19.07.00,0,2
1004011,19.14.00,28,19.14.00,0,1
1004013,7.33.00,1,7.33.00,0,28
1004013,7.36.00,2,7.36.00,0,27
1004013,7.40.00,3,7.40.00,0,26
1004013,7.42.00,4,7.42.00,0,25
1004013,7.45.00,5,7.45.00,0,24
1004013,7.48.00,6,7.48.00,0,23
1004013,7.52.00,7,7.52.00,0,22
1004013,7.54.00,8,7.54.00,0,21
1004013,7.56.00,9,7.56.00,0,20
1004013,7.58.00,10,7.58.00,0,19
1004013,7.59.00,11,7.59.00,0,18
1004013,8.00.00,12,8.00.00,0,17
1004013,8.02.00,13,8.02.00,0,16
1004013,8.04.00,14,8.04.00,0,15
1004013,8.08.00,15,8.08.00,0,14
1004013,8.10.00,16,8.10.00,0,13
1004013,8.11.00,17,8.11.00,0,12
1004013,8.13.00,18,8.13.00,0,11
1004013,8.15.00,19,8.15.00,0,10
1004013,8.18.00,20,8.18.00,0,9
1004013,8.22.00,21,8.22.00,0,8
1004013,8.26.00,22,8.26.00,0,7
1004013,8.28.00,23,8.28.00,0,6
1004013,8.32.00,24,8.32.00,0,5
1004013,8.36.00,25,8.36.00,0,4
1004013,8.38.00,26,8.38.00,0,3
1004013,8.40.00,27,8.40.00,0,2
1004013,8.47.00,28,8.47.00,0,1
1004014,8.53.00,1,8.53.00,0,1
1004014,9.00.00,2,9.00.00,0,2
1004014,9.02.00,3,9.02.00,0,3
1004014,9.04.00,4,9.04.00,0,4
1004014,9.08.00,5,9.08.00,0,5
1004014,9.12.00,6,9.12.00,0,6
1004014,9.14.00,7,9.14.00,0,7
1004014,9.18.00,8,9.18.00,0,8
1004014,9.22.00,9,9.22.00,0,9
1004014,9.25.00,10,9.25.00,0,10
1004014,9.27.00,11,9.27.00,0,11
1004014,9.29.00,12,9.29.00,0,12
1004014,9.30.00,13,9.30.00,0,13
1004014,9.32.00,14,9.32.00,0,14
1004014,9.36.00,15,9.36.00,0,15
1004014,9.38.00,16,9.38.00,0,16
1004014,9.40.00,17,9.40.00,0,17
1004014,9.41.00,18,9.41.00,0,18
1004014,9.42.00,19,9.42.00,0,19
1004014,9.44.00,20,9.44.00,0,20
1004014,9.46.00,21,9.46.00,0,21
1004014,9.48.00,22,9.48.00,0,22
1004014,9.52.00,23,9.52.00,0,23
1004014,9.55.00,24,9.55.00,0,24
1004014,9.58.00,25,9.58.00,0,25
1004014,10.00.00,26,10.00.00,0,26
1004014,10.04.00,27,10.04.00,0,27
1004014,10.07.00,28,10.07.00,0,28
1004015,10.13.00,1,10.13.00,0,28
1004015,10.16.00,2,10.16.00,0,27
1004015,10.20.00,3,10.20.00,0,26
1004015,10.22.00,4,10.22.00,0,25
1004015,10.25.00,5,10.25.00,0,24
1004015,10.28.00,6,10.28.00,0,23
1004015,10.32.00,7,10.32.00,0,22
1004015,10.34.00,8,10.34.00,0,21
1004015,10.36.00,9,10.36.00,0,20
1004015,10.38.00,10,10.38.00,0,19
1004015,10.39.00,11,10.39.00,0,18
1004015,10.40.00,12,10.40.00,0,17
1004015,10.42.00,13,10.42.00,0,16
1004015,10.44.00,14,10.44.00,0,15
1004015,10.48.00,15,10.48.00,0,14
1004015,10.50.00,16,10.50.00,0,13
1004015,10.51.00,17,10.51.00,0,12
1004015,10.53.00,18,10.53.00,0,11
1004015,10.55.00,19,10.55.00,0,10
1004015,10.58.00,20,10.58.00,0,9
1004015,11.02.00,21,11.02.00,0,8
1004015,11.06.00,22,11.06.00,0,7
1004015,11.08.00,23,11.08.00,0,6
